मसूरी	ma suu rii
खतनराक	kha tar naak
मौड्यूलेट्	maud: yuu lei t:ar
जैसै	jai sei
गुड़ीया	gu dii yaa
अतिशीघ्र	a ti shiighr
नामहैं	naam hain
हफ्ते	haph tei
कामकाजी	kaam kaa jii
वस्तुएँ	vas tuein
नासे	naa sei
निष्ठुर	nishh t:hur
समाधानः	sa maa dhaan
छपती	chhap tii
उच्चारण	uch chaa ran:
पड़ने	pad nei
झुलस	jhu las
पार्श्व	paar shva
तिथि	ti thi
इसीजी	i sei jii
अंकुर	an kur
अभियुक्तों	a bhi yuk toon
गवाना	ga vaa naa
दृश्यों	drxish yoon
चोमस्की	choo mas kii
गती	ga tii
परिसर	pa ri sar
अलीगढ़	a lii gad:h
इंसानियत	in saa ni yat
परिमाणीकरण	pa ri maa n:ii ka ran:
सलामी	sa laa mii
तत्त्व	tat tva
लिखी	li khii
कमाना	ka maa naa
लाँवणी	laa va n:ii
भूखा	bhuu khaa
लिखे	li khei
नारद	naa rad
विलासिता	vi la si taa
बॉस	baas
भले	bha lei
लक्ष्मी	lak shhmii
चित्तपवन	chit tpa van
तृप्त	trxipt
कम्युनिस्ट	kam yu nist:
दौड़ता	daud taa
इब्राहिम	ib raa him
बॉब	bab
बलबीर	bal biir
अन्तःचेतना	an tah chei ta naa
सीखाती	sii khaa tii
वेजीटेरियन	vei jii tei ri yan
बीते	bii tei
बीती	bii tii
बच्चेविद्यार्थी	bcha chei vad riy
लहराया	lah raa yaa
बोलियॉ	boo li yaan
गरीब	ga riib
पीजी	pii jii
जीयें	jii yein
संजना	san ja naa
चुनावी	chu naa vii
नेययारु	neiy yar
शहरीकर	shah rii kar
बोते	boo tei
एडवाकेट	aid voo keit:
चीकू	chii kuu
एलज़ाइमर	eil jaai mar
किशोरों	ki shoo roon
स्मिथ	smith
छोटे	chhoo t:ei
चन्द्रोदय	chan droo day
अँन्धे	an ndhei
दुश्मन	dush man
रखवाला	rakh vaa laa
छोटी	chhoo t:ii
नस्लों	nas loon
फेकना	phein knaa
बीएलटी	bei la tei
किसमें	kis mein
सवार	sa vaar
लहर	la har
मैनग्रोव	main groov
पाना	paa naa
अगले	ag lei
डेयरी	dei ya rii
सिपाही	si paa hii
लाचार	laa chaar
प्रण	pran:
तेरहवें	teir ha vein
डीहाइड्रेशन	d:ii haar d:rei shan
थियोसोफीः	ith yoo sai phii
प्रतिक्रियाएँ	pra tik ri yaaein
शामिल	shaa mil
ईमानदारी	ii maan daa rii
यूक्रेन	yuuk rein
भूगर्भीय	bhuu gar bhii ya
टेरिटोरियल	tei ri too ri yal
सौन्दर्य	saun dar ya
गायिकी	gaa yi kii
डिशवाशर	d:ish vaa shar
बेंसेंट	bei seint:
जहाजों	ja haa joon
तंदरुस्त	tan du rust
खेलों	khei loon
मोटापा	moo t:aa paa
परन्तु	pa ran tu
हिन्दूकाल	hin du kaal
रहता	rah taa
भाईः	bhai
गुवाहटी	gu vaah t:ii
कुटी	ku t:ii
प्रिंसीपल	prin sii pal
अनुसंधानों	a nu san dhaa noon
कौस्ता	kaus taa
बयार	ba yaar
हैंडलिंग	hain d:ling
तेते	tei tei
राष्ट्रपति	raashh t:ra pa ti
पंचारी	pan chaa rii
तीन	tiin
घोषण	ghooshh n:aa
एंजेलोउ	ein jei loou
सौष्ठव	saushh t:hav
अचंभित	a cham bhit
घटाती	gha t:aa tii
भारतवासियों	bhaa rat vaa si yoon
ढाबों	d:haa boon
मेघालय	mei ghaa la yaa
बदलती	ba dal tii
असहिष्णुता	a sa hishh n:u taa
तीज	tiij
वीरत्व	vii ratv
बदलते	ba dal tei
बेवकूफ	bei va kuuph
मारी	ma rii
द्वितीय	dvi tii ya
वैलेन्टाइन	vai lein t:aain
टेलीफोन	t:ei li phoon
चुने	chu nei
एमएसगोले	a ma sei gal
निश्चय	nish chay
भद्दा	bhad daa
यतीन्द्र	yan tiin dra
चुनी	chu nii
फलों	pha loon
तीर्थांकर	tiir thaan kar
घूंसा	ghuun saa
बिस्किट	bis kit:
लाइनमैनों	laain mai noon
एलगिन	eil gin
छमता	chham taa
सालभर	saal bhar
आवाजों	aa vaa joon
फोलेट्स	phoo leit:s
अंधेरे	an dhei rei
स्ट्रेचर	
शुदा	shu daa
स्नो	su noo
समझेंगे	sam jhein gei
सबको	sab koo
गुंजाईश	gun jaaish
वेदऋग्वेद	veid rxig veid
पुल	pul
चमकदार	cha mak daar
सफलतापूर्णं	sa phal taapuurn:
उसको	us koo
समीप	sa miip
भयंकर	bha yan kar
कार्यकाल	kaar ya kaal
वर्धा	var dhaa
धुलते	dhul tei
महत्त्व	
नांम	naam
उसकी	us kii
उसके	us kei
मिनिस्टर	mi nis t:ar
तना	ta naa
सोचना	sooch naa
प्राइवेट	praai veit:
अर्थपूर्ण	ar tha puurn:
रेगिस्तान	rei gis taan
लगावाकर	la gaav kaar
अन्तरार्ष्टृीय	an tar raashh t:rii ya
शुद्धि	shud dhi
बजाय	ba jaay
मौजूदा	mau juu daa
जैरे	jei rei
शैलियों	shai li yoon
डॉयर	d:aa yar
दर्शकों	dar sha koon
डेरा	d:ei raa
महीन	ma hiin
प्रतिभासंपन्न	pra ti bha sam pann
लाने	laa nei
टाई	t:aai
कतराते	kat raa tei
दुनिया	du ni yaa
वासुदेव	vaa su deiv
इसांन	i saann
नवम्बर	na vam bar
उपहार	u pa haar
आनंद	aa nand
अपार	a paar
सुना	su naa
चिर	chir
पैराग्राफ	pai raag raaph
बड़ा	ba daa
दूषित	duu shhit
दूरीयाँ	duu ri yaan
नही	na hii
अल	al
कैलाश	kai laash
शेष	sheish
कल	kal
पूनावासियों	puu naa vaa si yoon
सुभाष	su bhaashh
नरेंद्र	
एअर	ar
दोपहिया	doo pa hi yaa
बिर्सटल	bi ras tal
सुलझाते	sul jhaa tei
छिडकाव	chhid kaav
टीटी	t:ii t:ii
कारणवश	kaa ran: vash
सुलझाती	sul jhaa tii
जुकाम	ju kaa ma
व्यवस्था	vya vas thaa
स्वार्थ	svaarth
मालवांकर	maal vaan kar
नागरिकों	naag ri koon
टीटो	t:ii t:oo
परमात्मा	par maat maa
स्थान	sthaan
अकुशल	a ku shal
तहों	ta hoon
कैलेंडर	
अनुभवों	a nu bha voon
जलवाष्प	jal vaashh ya
बुराइयों	bu raai yoon
बैंगलुरु	bain ga lu ru
सस्पेंड	sas peind:
बैंगलुरू	bain ga luu ruu
राष्ट्रपिता	raashh tra pi taa
ताकतवर	taa kat var
भलाई	bha laaii
सेनानीयों	sei naa ni yoon
देते	dei tei
बदलेंगे	bad lein gei
गाहे	gaa hei
जननीय	ja na nii ya
स्थाई	sthaaii
बातचीत	baat chiit
राक्षसी	raak shha sii
बेसेंट	bei seint:
वाइस	vaais
जेबों	jei boon
देशबंधु	deish ban dhu
पिल्लै	pil lai
बनेंगे	ba nein gei
वास्तव	vaas tav
स्वन्त्रता	sva tan tra taa
स्वर्णिम	svar n:im
जन्मस्थली	jan mas tha lii
सुब्रमणियम्	sub ra ma n:i yam
किशोर	ki shoor
उगता	ug taa
कॉपीरइट	
प्रामाणिक	praa maa n:ik
टैगोर	t:ai goor
सियाम	si yaam
वॉर्मिंग	vaar ming
कार्यनीति	kaar ya nii ti
व्याख्या	vyaakh yaa
दार्जिलिंग	daar jii ling
हेली	hei lii
दरवाजा	dar vaa jaa
शांतिपूर्ण	shaan ti puurn:
सर्वांगीण	sar vaan giin:
किसंगीत	ki san giit
ट्रॉसफ्यूजन	trxi phas yuu jan
तुम्ही	tum hii
बहनों	bah noon
भेदभावपूर्ण	bheid bhaav puurn:
चढ़ना	cha d:ha naa
तुम्हे	tum hei
स्वाभाविकता	svaa bhaa vik taa
तकलीफ	tak liiph
दंपती	dam pat tii
दबाने	da baa nei
अर्जियाँ	ar ji yaan
असलियत	as li yat
लिफ्टों	liph toon
शरणगृहों	sha ran: gra hoon
पढ़कर	pad:h kar
झूठे	jhuu t:hei
गोमोह	goo mooh
मोरिस	moo ris
पत्रिका	pat ri kaa
दुखद	du khad
वैलेटाईन	vai lein taain
तरकीब	tar kiib
सावधानी	saav dhaa nii
कमांडेंट	ka maan d:eint:
बसती	bas tii
नदगाँव	nad gaanv
आँचल	aan chal
द्वीतिय	dvi tii ya
रंगोली	ran goo lii
दबा	da baa
पंखे	pan khei
आत्मसुधार	aat ma su dhaar
सर्वशक्तिमान	sar va shak ti maan
कुपोषित	ku poo shhit
स्टैंप	staimp
दोगुना	doo gu naa
हीगल	hii gal
नगद	na gad
प्रयाग	pra yaag
गोरा	goo raa
साकार	saa kaar
बनानें	ba naa nei
शेक्सपियर	sheik spi yar
निकालेगा	ni kaa lei gaa
हिन्दुस्तान	hin dus taan
प्राचीन	praa chiin
छोङो	chhoo doo
फाइनली	phaai na lii
रोना	roo naa
प्राचीर	praa chiir
कैलोरी	kai loo rii
प्रयास	pra yaas
प्रशानिक	pra shaas nik
घबराते	ghab raa tei
संकटमोचन	san kat: moo chan
प्रबंधों	pra ban dhoon
ट्रेनिंग	trei ning
मनुस्यो	ma nus yoon
अस्थिरता	as thir taa
अचछी	ach chhii
मकड़ियों	ma ka di yoon
उपहास	up haas
सूती	suu tii
मेरथानी	meir thaa nii
कम्प्रेशर	kam prei shar
एकान्तर	ai kaan tar
पंडितजी	pan dit jii
इधर	i dhar
माशपेशियों	maas pei shhi yoon
मृत्युदर	mrxit yu dar
डाकघरों	d:aak gha roon
नगर	na gar
मनानी	ma naa nii
प्रेमचन्द	preim chand
जूल्स	ju luus
पट्टाभिसीता	pat ti bha si
दानव	daa nav
करमान	kar maan
पदभार	pad bhaar
विकासात्मक	vi kaa saat mak
ठोकर	t:hoo kar
प्रारंभ	praa rambh
सादगी	saad gii
लोकगीत	look giit
नजदीक	naj diik
झील	jhiil
जार	jaar
घोंटना	ghoon t:naa
रुकेगा	ru kei gaa
भुलनपुर	bhu lan pur
अशुद्धि	a shud dhi
प्रथाएं	pra thaaein
सम्मेलन	sam mei lan
एग्रोकेमिकल्स	goo reik mi las
जमाने	ja maa nei
नौकरों	nau ka roon
शिखर	shi khar
अशान्ति	a shaan ti
बजाकर	ba jaa kar
आत्मकथाकार	aat ma ka thaa kaar
खेली	khei lii
गंतव्य	gan tavy
देशवासियो	deish vaa sii yoon
रहित	ra hit
ज्यादा	jyaa daa
हिम्मतपूर्णं	him mat puurn:
जामुई	jaa muii
थकती	thak tii
पंडालों	pan d:aa loon
अनुमानों	a nu maa noon
चोट	choot:
संभावनाओं	sam bhaav naaoon
पाटिल	paa t:il
अहंकार	a han kaar
शासनादेश	shaa sa na deish
पेरिस	pei ris
खानों	khaa noon
उल्लेख	ul leikh
जोखिम	joo khim
बगीचा	ba gii chaa
पांच	paanch
इधरउधर	i dha ru dhar
वक्तृत्व	vak trxitv
संस्कृतिक	san
पिन्नहट	pin naa hat:
पुथल	pu thal
पढ़ी	pa d:hii
पहुंची	pa hun chii
औरतें	au ra tein
समाधानों	sa maa dhaa noon
अधुनिक	aa dhu nik
वर्षो	var shhoon
विकृत	vik rxit
इकलोती	ik lau tii
सोप्जे	soop jei
छलनी	chhal nii
वर्षी	var shhii
आरंभिक	aa ram bhik
रौंधुगी	raun dhu gii
विचारशील	
कंबल	kam bal
फैंसी	phain sii
मध्यान्तर	madh yaan tar
सीओबीएस	siioo biieis
सीतामढ़ी	sii taa ma d:hii
चरखा	char khaa
समझाएगा	sam jhaaei gaa
बारदोलोई	baar doo looii
दहलीज़	dah liij
गोअथे	gooth
बोज़ाशियु	boo jaa shi yu
प्रशासनिक	pra shaas nik
टाटा	t:aa t:aa
और	aur
कृष्णागिरी	krxishh n:aa gi rii
सुविधायें	su vi dhaa yein
इंस्पेक्टर	in speik t:ar
भूतल	bhuu tal
डोडेगौड़ा	d:oo d:ei gau d:aa
संस्थाएं	san sthaaein
पङी	pa dii
बँगा	bai gaa
निरंतर	ni ran tar
राजकर्मचारियों	ra ja kar maa char yaash
औत	aut
ब्रायंट	braa yant:
नागरिकता	naa ga rik taa
बताया	ba taa yaa
साथायों	saa thaa yoon
मांसल	maan sal
ऊबाता	uu baa taa
यह	yah
एकादशी	ei kaa da shii
यि	yi
या	yaa
बताकर	ba taa kar
फसलों	pha sa loon
पितृऋण	pa ti rxin:
अँधेरा	an dhei raa
खोलते	khool tei
खोलती	khool tii
यश	yash
गिरते	gir tei
मान्यताओं	maan ya taaoon
यम	yam
रामा	raa maa
गतिशीलता	ga ti shiil taa
लगाना	la gaa naa
साड़ी	saa dii
रेंज	reinj
नामग्याल	naam gyaal
पढ़ाकर	pa d:haa kar
अवरोधक	av roo dhak
बीजारोपण	bii jaa roo pan:
नमामि	na maa mi
रावबहादुर	raav ba haa dur
रीति	rii ti
कष्टदायक	kashh t:daa yak
नरहरिदास	nar ha ri daas
देशवासियों	deish vaa sii yoon
अविवाहित	a vi vaa hit
कम्प्यूटरों	kam pyuu t:a roon
डिस्प्यूट्स	dis pyuut:s
पाठशाला	paat:h shaa laa
पन्त	pant
प्रयोजन	pra yoo jan
एब्बे	eib bei
महिलायें	ma hi laa yein
अनुरोध	a nu roodh
होतीं	hoo tiin
मिलाते	mi laa tei
चागला	chaag laa
मेरी	mei rii
इंदौर	in daur
मेरे	mei rei
नींव	niinv
स्मारकों	smaa ra koon
भजगोविन्दम	bhaj goo vin dam
ननिहाल	na ni haal
तपेदिक	ta pei dik
छुड़ाने	chhu daa nei
विस्तारित	vis taa rit
इस्तीफा	is tii phaa
मौजे	mau jei
साइबर	saai bar
नींद	niind
स्मारक	smaa rak
दायरे	daa ya rei
इन्द्र	indr
बारंबार	baa ram baar
अर्ज़ुमंद	ar ju mand
कराता	ka raa taa
कहावत	ka haa vat
नींग	niing
क्षमा	kshha maa
तेरे	tei rei
बीटी	bii t:ii
कार्यस्थल	kaar yas thal
स्पेस	speis
सरकार	sar kaar
सड़कें	sad kein
होमरुल	hoom rul
एनड्रिन	ain d:rin
नियामक	ni yaa mak
फलस्वरुप	phal sva ruup
पिघल	pi ghal
डे	d:ei
फैला	phai laa
बचायेगा	ba chaaei gaa
डू	d:uu
न्यूरोपैथी	nyuu roo pai thii
डी	d:ii
स्पेन	spein
हेर्बीसीड्स	heir bii siid:s
डॉ	daa
फूल	phuul
इमारतों	i maa ra toon
मुजाहिरे	mu jaa hi rei
रॉकेट	raa keit:
साबित	saa bit
ओक्सिदेंट्स	ook
मौसमी	mau sa mii
लैंडफिल	lain d:phil
हैरो	hei roo
पिलाता	pi laa taa
विदा	vi daa
उधम	uu dham
मुहर्रम	mu har ram
उधर	u dhar
घटित	gha t:it
लिएशिक्षा	lieish kshhaa
पुस्तकालयलेखन	pus ta kaa lay lei khan
प्रधानाचार्य	pra dhaa naa chaar ya
पुनःवनोत्पादन	pu nah va noo paa dan
नीतियाँ	nii ti yaan
नरेन्द्र	na rein dra
गहराईयों	ga ha raa yiioon
मरें	ma rein
संस्थापकों	san sthaa pa koon
धारणाओं	dhaar n:aaoon
मैकेनिकल	mai kei ni kal
जियानयिंग	ji yaan ying
आईसीपीडी	aaii sii pi dii
उथल	u thal
चलाने	cha laa nei
बरसात	bar saat
चूँकि	chuun ki
स्थापाना	sthaa paa naa
फूट	phuut:
रसदार	ras daar
आध्यात्मिक	aadh yaat mik
हीट	hiit:
अहोई	a hooii
पत्ते	pat te
संस्कृतियों	san
चर्बी	char bii
अमेठी	a mei t:hii
अक्षर	ak shhar
गेंदें	gein dei
मद्देनजर	mad dei na jar
बदतर	bad tar
हममें	ham mein
प्रक्षेपास्त्र	prak shhei pas tar
पड़ती	pad tii
तेलंगाना	tei lan gaa naa
बुरा	bu raa
कस्बें	kas bein
जरामरना	ja raa mar naa
समझती	sa majh tii
प्राचार्य	praa chaar ya
रेडियो	rei di yoo
सरकार	sar kaar
गोसाईं	goo saaiin
सविनिय	sa vi niy
सौंदर्य	saun dar ya
चिड़ी	chi dii
युद्धबंदी	yud dha ban dii
अनुगमन	a nu ga man
हफ्तों	haph toon
इंगरसॉल	in gar saal
पड़ते	pad tei
प्रद	prad
पहुँचते	pa hun chtei
स्तूप	stuup
हस्तशिल्पकारों	has tshil pa kaa roon
प्रसन्नचित्त	pra san chint
पढ़ाना	pa dhaa naa
लड़े	la dei
डिजाइनर	di jaai nar
कर्मकाण्ड	kar ma kand
ब्रह्मचारी	bar ma haa chiir
अक्षम	ak shhma
कलियाँ	ka li yaa
जनसंघ	ja na sanjh
कराँची	ka raa cha nii
अनैतिक	a nai tik
विन्चेस्टर	vin chei satr
राजनयिकों	raa jan ya koon
फीफा	phiiph
बैंगनी	bai gan nii
अपार्टमेंट	a paar tmei na
आ	a
सांख्यिकीय	saakh ya niky
निर्माणकर्ताओं	nir ma kaat ra nd~oon
पोचमपल्ली	choo pa ma lii
मैथमेटिकल	mai thai ti ma kei la
कैसा	keis
प्रभावकारी	pra bhaa va kaa rii
नातों	naa toon
थोड़ा	thood
वानरयूथमुख्यं	vaa na ya ruum tha yu
अभिशाप	a bhi shaap
देशद्रोही	dei sha ru hii
हैके	hai kei
आत्माराम	aat maar ma
नम्रता	nam ra taa
थीमविषय	
आयोजनों	aa yoo ja noon
प्लांटों	plaan toon
रस्मों	ras moon
श्रीवास्तव	shrii vaas tav
फकीर	pha kiir
सम्मारोह	sam maa roon
पर्यावरण	par yaa va raan
बन्दरगाह	ban dar gaah
प्रतिकूल	pra ti kuu la
मुराद	mu raad
समानता	sa maan taa
जकड़े	jak dei
भूपेंद्र	
उपन्यास	u pan yaas
मारती	maar tii
मारते	maar tei
सती	sa tii
हेलमेट	heil meit:
शहनाई	shhah naaii
बॉडर	baa d:ar
थैलेस्सेमिया	thai la sii mi yaa
जज्बा	jaj baa
शाहूजी	shaa huu jii
प्रतिनीधि	pra ti ni dhii
जुगनौत	jug naut
फर्नीचर	phar nii char
सिंहगढ़	sin hgad:h
न्यू	nyuu
नेटाल	nei t:aal
आरम्भिक	aa ram bhik
तहे	ta hei
डेक	d:eik
बाढ़ों	baa d:hoon
सब्जी	sab jii
समेत	sa meit
दिर्घा	dir ghaa
वर्णंन	var n:an
अलेक्जेंडर	a leik jein d:ar
मानेक	maa neik
एनसीकेलकर	ein sii keil kar
निदेशक	ni dei shak
उत्पादों	ut paa doon
साक्ष्य	saak shhya
अवकाशकालीन	av kaash kaa liin
अबतक	ab tak
आवृत्ति	aav rxit ti
स्टेज	st:eij
स्टेट	st:eit:
मस्तानी	mas taa nii
हरकत	har kat
उत्पन	ut pan
टिकटें	t:i ka t:ein
व्यापार	vyaa paar
अंकगणित	an kga n:it
महीनें	ma hii nei
इच्छुक	ich chhuk
फेंकें	phein kein
राजवंश	raaj vansh
अनुराग	a nu raag
जोड़ेगा	joo dei gaa
वक्त	vakt
चरणामित्	char naa mit
पहुंचाने	pa hun chaa nei
निर्धारित	nir dhaa rit
रूबरू	ruu ba ruu
यातनाओं	yaat naaoon
सातवां	saat vaan
सातवाँ	saat vaan
कुल्हाड़ी	kul haa dii
विद्यासागर	vid yaa saa gar
सबला	sa ba laa
संदर्भित	san dar bhit
शैक्षिण	shaik shha n:ik
हराकर	ha raa kar
बहुरी	ba hu rii
न्यायालाय	nyaa yaa la ya
खाजते	khaaj tei
उल्टी	ul t:ii
रुठदा	rut:h daa
भाषणों	bhaa shha n:oon
पङेगा	pa dei gaa
स्वीकारते	svii kaar tei
अभिभावकों	a bhi bhaa va koon
राषट्रपति	raashh rxa pa ti
प्रशस्त	pra shast
बाएँ	baaein
वोटों	voo t:oon
प्रह्लाद	prah laad
पंचवटी	pan chva t:ii
महासचिव	ma haa sa chiv
हुनर	hu nar
पैरामेडिकल	pai ra mei d:i kal
एकदन्ता	eik dan taa
करेगी	ka rei gii
पक्के	pak kei
आक्रमणकारियों	aak ra man: kaa ri yoon
विद्यार्थीयों	vid yaar thi yoon
पाइपलाईन	paaip lain
कावेरी	kaa vei rii
रुसी	ru sii
दुल्हा	dul haa
दौड़कर	daud kar
ट्रिब्यूनल	trib yuu nal
केन्द्रीत	kein driit
गृहिणी	grxi hi n:ii
भुवनेश्वरी	bhu va neish va rii
वनों	va noon
अस्वास्थयकर	aas vaas thay kar
जुताई	ju taaii
विदेशों	vi dei shoon
स्काईप	skaaiip
डिफेंस	di pheins
धनराज	dhan raaj
प्रौढ़ता	praud:h taa
समावेशन	sa maa vei shan
सोचेगें	soo chein gei
स्वीट्जरलैंड	svit: jar laind:
तस्करी	tas ka rii
क्षीर	kshhiir
चोपड़ा	choop daa
सूरमा	suur maa
सरला	sar laa
इसाई	i saaii
अत्याचारियों	at yaa chaa ri yoon
लवणन	la va n:an
छोङकर	chhood kar
थियोसोफी	thi yoo soo phii
यूआईसीसी	yuuaa si sei
कार्ड्स	kaard:s
उपदेश	up deish
फेरकर	pheir kar
सुनाकर	su naa kar
क्रोध	kroodh
पर्वों	par voon
जलाएं	ja laaein
बिरला	bir laa
पुरे	pu rei
कुन्दल	kun dal
परिवारों	pa ri vaa roon
पुरी	pu rii
मोमबत्तियॉ	moom bat ti yaan
कुन्दन	kun dan
जेते	jei tei
मूली	muu lii
एल्डो	ail d:oo
विंस	vins
डबल्यूईडी	a bab lyei du
खोदते	khood tei
सीएम	siieim
सप्ताह	sap taah
वक्फ	vakph
सहाय	sa haay
सहाब	sa haab
फलफूल	phal phuul
जोहॉन	joo haan
लैंडस्टेनर	lain
कोरवों	koor voon
मुकेश	mu keish
असक्षम	a sak shham
कमरे	kam rei
सीएस	siieis
काँग्रेस	kaan greis
गढ़	gad:h
सर्वेक्षणों	sar veik shha n:oon
अपनापन	ap naa pan
पतियों	pa ti yoon
चौकीदार	chau kii daar
बीमारियों	bii maa ri yoon
परिवारो	pa ri vaa roon
कीड़े	kii dei
आदर्शवादी	aa dar shvaa dii
बायना	baa ya naa
आईएफबीडीओ	aaei pha bii phii
रखवारे	rakh vaa rei
खेलना	kheil naa
सुलझायी	sul jhaa yii
कमाते	ka maa tei
गतिविधिया	ga ti vi dhi yaan
जरुरतमंद	ja ru rat mand
जिगनतार	ji gan taar
भर्ती	bhar tii
कुलमाता	kul maa taa
पहुँचाती	pa hun chaa tii
छमाही	chha maa hii
काउंटी	kaaun t:ii
अवगत	av gat
गुब्बारों	gub baa roon
ज्वैलरी	jvai la rii
पुरुषप्रधान	pu rushh pra dhaan
मेजबान	meij baan
ठसाठस	t:ha saa t:has
पकायें	pa kaa yein
प्रेमकिशन	preim ki shan
उड़ायी	u d:a yii
बेघर	bei ghar
उत्साहित	ut saa hit
सार्थकता	saar thak taa
पार्किंग	paar king
उज्ज्वल	uj jval
उड़ा	u daa
थियोसिफिकल	thi yoo sau phi kil
हंसते	han stei
घंटे	ghan t:ei
सराहा	sa raa haa
पूजने	puu ja nei
घंटी	ghan t:ii
विद्वान	vid vaan
हँस	hans
बेचा	bei chaa
पुलिसकर्मियों	pu lis kar mi yoon
झेली	jhei lii
मैके	mai kei
उपचारित	up chaa rit
सियाराम	si yaa raam
निर्देशानुसार	nir dei shaa nu saar
कृष्णा	krxishh n:aa
महापौर	ma haa paur
यिंगलुक	yiin gluk
नृत्य	nrxit ya
खुशी	khu shii
औजारों	au jaa roon
घंटा	ghan t:aa
मेनका	mei na kaa
उपयों	u pa yoon
बुशहर	bushh har
प्रांत	praant
सिगरेट	sig reit:
आंकलन	aan ka lan
बुनकर	bun kar
दंपत्ति	dam pat ti
ककरने	ka kar nei
उपयोग	up yoog
मैसेज	mai seij
सम्मानहीन	sam maan hiin
सेट	seit:
वॉलेट	va leit:
प्रश्रोत्तरी	prash root ta ri
ताराबाई	taa raa baaii
यूनिफार्म	yuu ni phaarm
परिणाम	pa ri n:aam
नाटक	naa t:ak
वृषभ	vrxi shhabh
मिलें	mi lein
कुंदलपुर	kun dal pur
नाटय	naat: ya
मकसद	mak sad
दाएं	daaein
लोकमान्य	look maan ya
फॉसफोरस	phaas phoo ras
अदरणीय	aa dar n:ii ya
शरीर	sha riir
स्कॉटिश	skaa t:ish
क्यों	kyoon
विषय	vi shhay
ऊँचा	uun chaa
बीसी	bii sii
नाटल	naa t:al
लिखीं	li khiin
अभिनव	a bhi nav
पैराबैंगनी	pai ra bain gnii
काज	kaaj
पूँजी	puun jii
छूटई	chhuu t:ai
क्रियाकलापों	kri ya ka la poon
दद्यात	dad yaat
भेदती	bheid tii
बटुकेश्वर	ba t:u keish var
बरदाश्त	bar daasht
घुड़सवार	ghud sa vaar
चम्पारन	cham paa ran
ब्रह्मों	brah moon
खरीदते	kha riid tei
पारंपरिक	paa ram pa rik
भीषण	bhii shhan:
गिरफ्तार	gi raph taar
गर्म	gar ma
नजअंदाज	na ja ran daaj
फारस	phaa ras
द्रुओन	druoon
बनाएगी	ba naaei gii
जिन्ना	jin naa
कार्यविधि	kaar ya vi dhi
इन्दिरा	in di raa
काश	kaash
गिरनार	ghir naar
काल	kaal
कार	kaar
बिजनेस	bij neis
काम	kaam
नवीनीकृत	na vii niik rit
सत्यवान	sat ya vaan
कान	kaan
बहुत	ba hut
कितने	kit nei
लाभान्वित	laa bhaan vit
कौशलपूर्ण	kau shal puurn:
सीएफएल	sei phar lei na
ऐङी	ai d:ii
आधुनिक	aa dhu nik
अमानुषी	a maa nu shhii
प्रचीन	praa chiin
विप्रो	vip roo
स्वार्थी	svaar thii
संरक्षक	san rak shhak
युक्ति	yuk ti
कटे	ka t:ei
बिशेष	bi sheish
पोर्ट	poort:
कटी	ka t:ii
कटु	ka t:u
प्रायिकता	praa yik taa
पाठ्क्रम	paat:h kram
ब्लैक	blaik
उकसाने	uk saa nei
अर्घ्य	ar ghya
गलतफहमियों	ga lat phah mi yoon
निकास	ni kaas
व्यक्तित्वों	vyak tit voon
हल्की	hal kii
वास्ट	vaast:
महिलाओं	ma hi laaoon
जानते	jaan tei
उमड़	u mad
निकाल	ni kaal
लोकनृत्य	look nrxit ya
खींचता	khiin chtaa
जानती	jaan tii
पाँचवां	paan chvaa
कर्तव्यनिष्ठ	kar tav ya nisht:h
सहजता	sa haj taa
निकाय	ni kaay
कचरा	kach raa
स्पीकरों	spii ka roon
यहॉं	ya haan
इच्छाएं	ich chhaaein
संरक्षण	san rak shhan:
भौंकने	bhaun knei
महारत	ma haa rat
मायनों	maa ya noon
एमएचआरडी	eia ma cha raa dei
अनुरक्षित	a nu rak shhti
अस्पृश्य	as par shya
दांत	daant
लुप्तप्राय	lup tap raay
गीतीवली	gii tiiv lii
चिढ़ाने	chi d:haa nei
चिडचिड़पन	chid chi daa pan
शिविर	shi vir
पुर्नस्थापना	pu ran sthaap naa
परिणामस्वरुप	pa ri maa sap rna mus
तालाब	taa laab
मलयजशीतलाम्	mal yaj shiit laam
निमंत्रित	ni man trit
हिंसात्मक	hin saat mak
एलेन	eil nei
ज़ामिया	jaa mi yaa
कर्त्तव्य	kar ttavy
धीमीदर	dhii mii dar
पढ़ना	pa dha naa
डिब्बाबंद	d:ib baa band
तैयीर	tai yiir
राधानगर	raa dhaa na gar
वातावरण	vaa taa va ran:
काला	kaa laa
प्रजातीय	pra jaa tiy
ट्रोट	t:root:
आच्छादनों	aach chhaa da noon
खंडहर	khan d:har
टहलते	t:a hal tei
व्यंजन	vyan jan
अपनाता	ap naa taa
रंग	rang
असली	as lii
कथक	ka thak
अमृत	am rxit
आयताकार	aa ya taa kaar
इफेक्ट	i pheikt:
लाभार्थियों	laa bhaar thi yoon
भूमणडलीय	bhuu man da lii ya
निकलता	ni kal taa
कलंक	ka lank
सम्पूर्ण	sam puurn:
प्रसिद्धिः	pra sid dhi
हों	hoon
अर्नेष्ट	ar neisht
वाइसराय	vaais raay
छूने	chhuu nei
होई	hooii
डॉलफिन	d:aal phin
विविधताओं	vi vidh taaoon
आंदोलन	aan doo lan
चैत्री	chait rii
पहाड़ों	pa haa doon
ब्रेडलॉफ	breid: laaph
